Activation Date,Baseline / Compared,Baseline Filter,Business Segment,Campaign,City,Compared Campaign,Country,Customer ID,Customer Name,Customer Type,Order ID,Product ID,Product Name,Region,Row ID,Signup Date,State,Sub-Category (group),Swipe Date,Discount,Revenue to Charge Ratio,Total Charge,Total Revenue,레코드 수
2011-01-08,,거짓,Private,Exclusive Offers Campaign,Wagga Wagga,거짓,Australia,JH-15985,Joseph Holt,Consumer,IN-2011-47883,FUR-FU-10003447,"Eldon Light Bulb, Duo Pack",Oceania,1961,2011-01-01,New South Wales,Gold,2011-02-07,0.1,33.23%,113.67,37.77,1
2011-01-08,,거짓,Commercial ,Exclusive Offers Campaign,Wagga Wagga,거짓,Australia,JH-15985,Joseph Holt,Consumer,IN-2011-47883,OFF-PA-10001968,"Eaton Computer Printout Paper, 8.5 x 11",Oceania,1960,2011-01-01,New South Wales,Prestige,2011-02-26,0.1,27.77%,55.242,15.342,1
2011-01-08,,거짓,Commercial ,Exclusive Offers Campaign,Wagga Wagga,거짓,Australia,JH-15985,Joseph Holt,Consumer,IN-2011-47883,OFF-SU-10000618,"Acme Trimmer, High Speed",Oceania,1959,2011-01-01,New South Wales,Prestige,2011-01-22,0.1,29.94%,120.366,36.036,1
2011-01-03,,거짓,Commercial ,Cashback Rewards Campaign,Sydney,거짓,Australia,KN-16450,Kean Nguyen,Corporate,IN-2011-79397,OFF-AP-10000304,"Hoover Microwave, White",Oceania,9,2011-01-03,New South Wales,Business Platinum,2011-02-24,0.1,39.99%,276.102,110.412,1
2011-01-03,,거짓,Commercial ,Cashback Rewards Campaign,Sydney,거짓,Australia,KN-16450,Kean Nguyen,Corporate,IN-2011-79397,OFF-LA-10003396,"Avery Color Coded Labels, Laser Printer Compatible",Oceania,8,2011-01-03,New South Wales,Business Signature,2011-02-14,0.1,13.22%,35.883,4.743,1
2011-01-07,Compared Campaign,거짓,Private,Signup Bonus Campaign,Manila,참,Philippines,LB-16735,Larry Blacks,Consumer,IN-2011-65159,FUR-TA-10002797,"Chromcraft Round Table, Adjustable Height",Southeast Asia,6067,2011-01-03,National Capital,Platinum,2011-02-11,0.55,0.00%,211.1805,0,1
2011-01-07,Compared Campaign,거짓,Commercial ,Signup Bonus Campaign,Manila,참,Philippines,LB-16735,Larry Blacks,Consumer,IN-2011-65159,OFF-FA-10002569,"Stockwell Staples, Metal",Southeast Asia,6066,2011-01-03,National Capital,Business Signature,2011-02-26,0.45,9.09%,6.006,0.546,1
2011-01-07,Compared Campaign,거짓,Commercial ,Signup Bonus Campaign,Manila,참,Philippines,LB-16735,Larry Blacks,Consumer,IN-2011-65159,OFF-ST-10003020,"Tenex Lockers, Industrial",Southeast Asia,6068,2011-01-03,National Capital,Prestige,2011-02-24,0.45,0.00%,337.6395,0,1
2011-01-08,,거짓,Commercial ,Exclusive Offers Campaign,Nakhon Ratchasima,거짓,Thailand,CM-12235,Chris McAfee,Consumer,ID-2011-12596,OFF-ST-10002066,"Smead File Cart, Blue",Southeast Asia,3697,2011-01-03,Nakhon Ratchasima,Prestige,2011-01-28,0.47,0.00%,135.1182,0,1
2011-01-09,,거짓,Private,Exclusive Offers Campaign,Papakura,거짓,New Zealand,KL-16645,Ken Lonsdale,Consumer,ID-2011-80230,FUR-CH-10000214,"Hon Rocking Chair, Set of Two",Oceania,10157,2011-01-03,Auckland,Premier Miles,2011-01-26,0.4,0.00%,159.444,0,1
2011-01-09,,거짓,Private,Exclusive Offers Campaign,Papakura,거짓,New Zealand,KL-16645,Ken Lonsdale,Consumer,ID-2011-80230,FUR-CH-10000666,"SAFCO Chairmat, Black",Oceania,10158,2011-01-03,Auckland,Premier Miles,2011-03-02,0.4,0.00%,68.868,0,1
2011-01-09,,거짓,Investment,Exclusive Offers Campaign,Papakura,거짓,New Zealand,KL-16645,Ken Lonsdale,Consumer,ID-2011-80230,TEC-AC-10002881,"Belkin Numeric Keypad, Bluetooth",Oceania,10159,2011-01-03,Auckland,Rewards,2011-01-22,0.4,4.94%,69.3,3.420000000,1
2011-01-09,,거짓,Investment,Exclusive Offers Campaign,Papakura,거짓,New Zealand,KL-16645,Ken Lonsdale,Consumer,ID-2011-80230,TEC-CO-10004182,"Hewlett Wireless Fax, Laser",Oceania,10156,2011-01-03,Auckland,Rewards,2011-02-20,0.4,0.00%,912.456,0,1
2011-01-09,,거짓,Investment,Exclusive Offers Campaign,Kuching,거짓,Malaysia,DP-13390,Dennis Pardue,Corporate,IN-2011-33652,TEC-CO-10000594,"Hewlett Fax and Copier, Laser",Southeast Asia,5081,2011-01-03,Sarawak,Rewards,2011-02-24,0,25.99%,192.87,50.13,1
2011-01-08,,거짓,Commercial ,Exclusive Offers Campaign,Tottori,거짓,Japan,BD-11500,Bradley Drucker,Consumer,IN-2011-33036,OFF-LA-10000784,"Harbour Creations File Folder Labels, 5000 Label Set",North Asia,5693,2011-01-04,Tottori,Business Signature,2011-03-04,0,50.00%,27.36,13.68,1
2011-01-11,,거짓,Private,Exclusive Offers Campaign,Taipei,거짓,Taiwan,SW-20455,Shaun Weien,Consumer,IN-2011-27681,FUR-FU-10000394,"Rubbermaid Photo Frame, Durable",North Asia,8832,2011-01-05,Taipei City,Gold,2011-03-04,0,46.99%,48.78,22.92,1
2011-01-10,,거짓,Commercial ,Exclusive Offers Campaign,Huadian,거짓,China,KM-16660,Khloe Miller,Consumer,IN-2011-76107,OFF-EN-10002166,"Cameo Manila Envelope, with clear poly window",North Asia,3778,2011-01-06,Jilin,Business Signature,2011-02-24,0,42.93%,30.54,13.11,1
2011-01-10,,거짓,Commercial ,Exclusive Offers Campaign,Padang,거짓,Indonesia,BH-11710,Brosina Hoffman,Consumer,IN-2011-29963,OFF-FA-10000549,"Advantus Staples, Metal",Southeast Asia,3749,2011-01-06,Sumatera Barat,Business Signature,2011-03-11,0.47,0.00%,40.7358,0,1
2011-01-10,,거짓,Commercial ,Exclusive Offers Campaign,Padang,거짓,Indonesia,BH-11710,Brosina Hoffman,Consumer,IN-2011-29963,OFF-ST-10000344,"Fellowes Box, Industrial",Southeast Asia,3748,2011-01-06,Sumatera Barat,Prestige,2011-02-14,0.17,11.97%,50.1984,6.0084,1
2011-01-13,,거짓,Commercial ,Exclusive Offers Campaign,Ho Chi Minh City,거짓,Vietnam,RD-19660,Robert Dilbeck,Corporate,ID-2011-41632,OFF-PA-10003407,"Enermax Memo Slips, Recycled",Southeast Asia,4851,2011-01-06,Ho Chí Minh City,Prestige,2011-02-08,0.17,29.89%,38.7693,11.5893,1
2011-01-13,,거짓,Commercial ,Exclusive Offers Campaign,Ho Chi Minh City,거짓,Vietnam,RD-19660,Robert Dilbeck,Corporate,ID-2011-41632,OFF-ST-10001631,"Tenex Trays, Blue",Southeast Asia,4852,2011-01-06,Ho Chí Minh City,Prestige,2011-03-05,0.17,32.52%,89.9886,29.2686,1
2011-01-11,,거짓,Commercial ,Exclusive Offers Campaign,Manila,거짓,Philippines,MS-17365,Maribeth Schnelling,Consumer,ID-2011-58670,OFF-AR-10003684,"BIC Sketch Pad, Fluorescent",Southeast Asia,1145,2011-01-07,National Capital,Business Platinum,2011-02-09,0.45,0.00%,27.456,0,1
2011-01-11,,거짓,Investment,Exclusive Offers Campaign,Manila,거짓,Philippines,MS-17365,Maribeth Schnelling,Consumer,ID-2011-58670,TEC-AC-10003413,"Logitech Router, Programmable",Southeast Asia,1148,2011-01-07,National Capital,Rewards,2011-02-24,0.45,0.00%,273.702,0,1
2011-01-11,,거짓,Investment,Exclusive Offers Campaign,Manila,거짓,Philippines,MS-17365,Maribeth Schnelling,Consumer,ID-2011-58670,TEC-MA-10004482,"Panasonic Card Printer, White",Southeast Asia,1147,2011-01-07,National Capital,Petrol ,2011-01-19,0.25,6.66%,387.5175,25.8075,1
2011-01-11,,거짓,Investment,Exclusive Offers Campaign,Manila,거짓,Philippines,MS-17365,Maribeth Schnelling,Consumer,ID-2011-58670,TEC-MA-10000868,"Panasonic Phone, Wireless",Southeast Asia,1146,2011-01-07,National Capital,Petrol ,2011-01-16,0.25,0.00%,445.41,0,1
2011-01-12,,거짓,Commercial ,Exclusive Offers Campaign,Singapore,거짓,Singapore,AB-10060,Adam Bellavance,Corporate,ID-2011-28752,OFF-LA-10002875,"Novimex Shipping Labels, Adjustable",Southeast Asia,1093,2011-01-07,Singapore,Business Signature,2011-02-25,0,30.74%,17.76,5.46,1
2011-01-12,Compared Campaign,거짓,Investment,Signup Bonus Campaign,Kunming,참,China,NF-18595,Nicole Fjeld,Corporate,IN-2011-19330,TEC-MA-10002468,"Panasonic Inkjet, White",North Asia,332,2011-01-08,Yunnan,Petrol ,2011-03-01,0,12.00%,2173.5,260.82,1
2011-01-13,,거짓,Commercial ,Exclusive Offers Campaign,San Pedro,거짓,Philippines,SC-20050,Sample Company A,Corporate,ID-2011-46483,OFF-FA-10000577,"Stockwell Push Pins, 12 Pack",Southeast Asia,9287,2011-01-09,Calabarzon,Business Signature,2011-02-05,0.45,8.89%,51.6285,4.5885,1
2011-01-13,,거짓,Commercial ,Exclusive Offers Campaign,San Pedro,거짓,Philippines,SC-20050,Sample Company A,Corporate,ID-2011-46483,OFF-PA-10003405,"Green Bar Memo Slips, Premium",Southeast Asia,9288,2011-01-09,Calabarzon,Prestige,2011-02-09,0.45,0.00%,9.3225,0,1
2011-01-13,,거짓,Commercial ,Exclusive Offers Campaign,San Pedro,거짓,Philippines,SC-20050,Sample Company A,Corporate,ID-2011-46483,OFF-ST-10001342,"Fellowes Trays, Blue",Southeast Asia,9286,2011-01-09,Calabarzon,Prestige,2011-03-03,0.45,0.00%,157.8225,0,1
2011-01-13,,거짓,Investment,Exclusive Offers Campaign,Kediri,거짓,Indonesia,EB-13705,Ed Braxton,Corporate,ID-2011-20814,TEC-PH-10001730,"Motorola Signal Booster, Full Size",Southeast Asia,1555,2011-01-09,Jawa Timur,Cash Back,2011-02-24,0.17,0.00%,239.7372,0,1
